"BLID";"lat";"lon";"aliasBLID1";"aliasBLID2";"locality";"region";"elevation";"country";"province";"siteType";"WLID";"distToWLID_km";"irrigated";"expt_yield_2017";"expt_restore_2018";"provincial_region";"created_at";"updated_at";"expt_yield_Lakeland"
10069;50.6982;-114.0478;0;0;"Range Rd 12, Black Diamond";"South Calgary";1118;"CANADA";"Alberta";"ditch";99001;7.32;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
10092;50.7223;-113.6519;0;0;"Range Rd 272, Blackie";"South Calgary";1075;"CANADA";"Alberta";"ditch";99003;19.2;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
10145;50.6416;-114.2095;0;0;"Range Rd 23, Black Diamond";"South Calgary";1263;"CANADA";"Alberta";"ditch";99001;8.69;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
10212;50.8051;-113.8213;0;0;"Township Rd 274, De Winton";"South Calgary";1014;"CANADA";"Alberta";"ditch";99001;25.45;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
10348;50.7757;-114.0971;0;0;"Township Rd 212, De Winton";"South Calgary";1197;"CANADA";"Alberta";"ditch";99001;8.21;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
10399;50.6592;-113.9927;0;0;"Township Rd 200, Aldersyde";"South Calgary";1143;"CANADA";"Alberta";"ditch";99001;12.45;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
10495;50.6905;-113.1902;0;0;"Range Rd 240, Arrowwood";"South Calgary";1006;"CANADA";"Alberta";"ditch";99004;11.35;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
10558;50.6859;-113.4903;0;0;"Township Rd 202, Mossleigh";"South Calgary";1085;"CANADA";"Alberta";"ditch";99004;10.11;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
10669;50.7759;-113.9489;0;0;"306 Ave E, De Winton";"South Calgary";1123;"CANADA";"Alberta";"ditch";99001;15.95;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
10781;50.6236;-113.2363;0;0;"Range Rd 242, Mossleigh";"South Calgary";1066;"CANADA";"Alberta";"ditch";99004;9.62;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
10832;50.747;-113.5854;0;0;"Near Blackie";"South Calgary";1050;"CANADA";"Alberta";"ditch";99004;18.64;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
10901;50.568;-114.231;0;0;"Cowboy Trail, Longview";"South Calgary";1291;"CANADA";"Alberta";"ditch";99001;16.81;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
10962;50.6595;-113.8616;0;0;"Township Rd 200, Aldersyde";"South Calgary";1027;"CANADA";"Alberta";"ditch";99002;19.67;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
11082;50.5719;-114.0643;0;0;"530 Ave W, Longview";"South Calgary";1153;"CANADA";"Alberta";"ditch";99002;7.89;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
11395;50.5943;-114.1865;0;0;"Range Rd 22, Longview";"South Calgary";1202;"CANADA";"Alberta";"ditch";99001;13.13;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
11399;50.5981;-113.1442;0;0;"Range Rd 234, Arrowwood";"South Calgary";1128;"CANADA";"Alberta";"ditch";99004;16.64;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
11482;50.6944;-113.352;0;0;"Range Rd 251, Mossleigh";"South Calgary";945;"CANADA";"Alberta";"ditch";99004;2.45;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
11520;50.7729;-114.1633;0;0;"112 St W, De Winton";"South Calgary";1256;"CANADA";"Alberta";"ditch";99001;7.06;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
11589;50.6886;-113.6921;0;0;"3.9 km from Gladys";"South Calgary";1071;"CANADA";"Alberta";"ditch";99003;15.86;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
11618;50.6698;-114.0942;0;0;"9.3 km from Okotoks";"South Calgary";1182;"CANADA";"Alberta";"ditch";99001;5.96;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
11794;50.7323;-114.1864;0;0;"5.9 km from Black Diamond";"South Calgary";1129;"CANADA";"Alberta";"ditch";99001;3.57;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
11891;50.6153;-113.5363;0;0;"3.8 km from Eltham";"South Calgary";1035;"CANADA";"Alberta";"ditch";99003;10.32;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
11988;50.7467;-114.0975;0;0;"7.1 km from Okotoks";"South Calgary";1172;"CANADA";"Alberta";"ditch";99001;5.51;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12000;50.6208;-113.1902;0;0;"14.6 km from Mossleigh";"South Calgary";1014;"CANADA";"Alberta";"ditch";99004;12.58;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12228;50.5718;-114.1111;0;0;"9.2 km from Hartell";"South Calgary";1223;"CANADA";"Alberta";"ditch";99002;9.92;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12276;50.8053;-113.4635;0;0;"13.6 km from Mossleigh";"South Calgary";960;"CANADA";"Alberta";"ditch";99004;16.85;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12304;50.5884;-113.2363;0;0;"14.8 km from Herronton";"South Calgary";1063;"CANADA";"Alberta";"ditch";99004;12.27;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12373;50.6574;-113.6982;0;0;"3.4 km from Mazeppa";"South Calgary";1030;"CANADA";"Alberta";"ditch";99003;12.64;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12490;50.6597;-113.3683;0;0;"4 km from Farrow";"South Calgary";955;"CANADA";"Alberta";"ditch";99004;1.99;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12504;50.694;-113.0287;0;0;"21.1 km from Mossleigh";"South Calgary";995;"CANADA";"Alberta";"ditch";99005;19.18;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12647;50.7766;-113.8366;0;0;"10.5 km from Gladys";"South Calgary";996;"CANADA";"Alberta";"ditch";99001;23.29;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12674;50.6884;-114.1753;0;0;"4 km from Black Diamond";"South Calgary";1177;"CANADA";"Alberta";"ditch";99001;2.99;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12754;50.572;-114.0012;0;0;"9.3 km from High River";"South Calgary";1103;"CANADA";"Alberta";"ditch";99002;6.93;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12826;50.6014;-113.3784;0;0;"4.9 km from Herronton";"South Calgary";998;"CANADA";"Alberta";"ditch";99004;8.19;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
12898;50.601;-114.2356;0;0;"0.2 km from Hartell";"South Calgary";1228;"CANADA";"Alberta";"ditch";99001;13.55;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13001;50.572;-113.5471;0;0;"1.3 km from Eltham";"South Calgary";1023;"CANADA";"Alberta";"ditch";99003;7.01;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13210;50.7498;-113.421;0;0;"7.2 km from Farrow";"South Calgary";1003;"CANADA";"Alberta";"ditch";99004;10.0;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13212;50.6014;-113.7052;0;0;"4.9 km from Mazeppa";"South Calgary";1007;"CANADA";"Alberta";"ditch";99003;7.35;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13336;50.5992;-113.9286;0;0;"Range Rd 292, Aldersyde";"South Calgary";1056;"CANADA";"Alberta";"ditch";99002;11.48;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13357;50.7469;-113.6921;0;0;"27315 Township Rd 210, Aldersyde";"South Calgary";1072;"CANADA";"Alberta";"ditch";99003;22.23;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13358;50.6303;-114.0669;0;0;"Near Black Diamond";"South Calgary";1169;"CANADA";"Alberta";"ditch";99001;10.63;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
13405;50.706;-113.8594;0;0;"378143 96 St E, Aldersyde";"South Calgary";1025;"CANADA";"Alberta";"ditch";99001;20.49;0;0;0;"Southern Alberta";"2018-10-26 11:26:28";"2018-10-26 11:26:28";0
