"BTID";"BLID";"collector";"trapType";"pass";"replicate";"startYear";"startMonth";"startDay";"startHour";"startMinute";"endYear";"endMonth";"endDay";"endHour";"endMinute";"startNESWPhoto_DSC";"endNESWPhoto_DSC";"canolaAdjacent";"percentCanolaBloom";"floralAdjacentNotes";"deployedNotes";"retrievalNotes";"lonTrap";"latTrap";"elevTrap";"locationType";"adjCrop";"oppCrop";"adjCropBloom";"oppCropBloom";"adjMowed";"oppMowed";"created_at";"updated_at";"startjulian";"endjulian";"midjulian";"midyear";"midmonth";"midday";"deployedhours"
"10069-1-A-2015";10069;"S. Johnson";"Blue Vane";1;"A";2015;6;24;13;48;2015;7;1;11;57;"268-271";"";"No";"";"";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";175;182;179;2015;6;28;166.15
"10069-2-A-2015";10069;"S. Johnson";"Blue Vane";2;"A";2015;7;1;11;57;2015;7;9;12;6;"";"17-20";"No";"";"";"bird nest";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";182;190;186;2015;7;5;192.15
"10069-3-A-2015";10069;"S. Johnson";"Blue Vane";3;"A";2015;7;9;12;6;2015;7;16;10;35;"";"";"No";"";"";"hay bales";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";190;197;194;2015;7;13;166.4833
"10069-4-A-2015";10069;"S. Johnson";"Blue Vane";4;"A";2015;7;16;10;35;2015;7;29;12;2;"";"0011-0014";"No";"";"";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";197;210;204;2015;7;23;313.45
"10069-5-A-2015";10069;"S. Johnson";"Blue Vane";5;"A";2015;7;29;12;2;2015;8;11;12;16;"";"737-740";"No";"";"laste thistle (dtich), sparse alfalfa in Eastern field, goldenrod (opposite, western ditch)";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";210;223;217;2015;8;5;312.2333
"10092-1-A-2015";10092;"S. Johnson";"Blue Vane";1;"A";2015;6;26;10;20;2015;7;3;8;7;"375-378";"309-313";"No";"";"";"peas";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";177;184;181;2015;6;30;165.7833
"10092-2-A-2015";10092;"S. Johnson";"Blue Vane";2;"A";2015;7;3;8;7;2015;7;13;8;17;"";"124-127";"No";"";"alfalfa, canola in ditch, field margin, W peas to seed";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";184;194;189;2015;7;8;240.1666
"10092-3-A-2015";10092;"S. Johnson";"Blue Vane";3;"A";2015;7;13;8;17;2015;7;21;8;10;"";"556-559";"No";"";"alfalfa, sparse dicth canola, peas gone to seed";"refilled";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";194;202;198;2015;7;17;191.8833
"10092-4-A-2015";10092;"S. Johnson";"Blue Vane";4;"A";2015;7;21;8;10;2015;8;7;7;37;"";"494-497";"No";"";"thistle and late alfalfa in ditch ";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";202;219;211;2015;7;30;407.45
"10092-5-A-2015";10092;"S. Johnson";"Blue Vane";5;"A";2015;8;7;7;37;2015;8;14;7;40;"";"913-916";"No";"";"late thistle";"";"";0.0;0.0;0;"ditch";"";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";219;226;223;2015;8;11;168.05
